Datum,Photovoltaik[MWh] Produziert,Erdgas[MWh] Produziert,Windenergie[MWh] Produziert,Day-Ahead Preis DE/LU,Netzlast[MWh] Forecast
01.10.2018 00:00,0.00,3391.75,5886.5,59.53,-
01.10.2018 01:00,0.00,3257.50,6055.25,56.1,-
01.10.2018 02:00,0.00,3336.50,6034.0,51.41,42628.00
01.10.2018 03:00,0.00,3179.50,6300.5,47.38,42986.75
01.10.2018 04:00,0.00,3370.75,7117.5,47.59,44675.00
01.10.2018 05:00,0.00,3655.25,7842.5,51.61,48813.25
01.10.2018 06:00,0.00,4758.75,9506.25,69.13,57869.00
01.10.2018 07:00,208.25,5603.75,10531.5,77.32,63091.50
01.10.2018 08:00,2009.50,5656.25,10703.5,84.97,65697.25
01.10.2018 09:00,5139.50,5618.75,10171.25,79.56,66773.50
01.10.2018 10:00,8363.75,5494.50,10714.75,73.7,67731.25
01.10.2018 11:00,10239.00,5201.00,13001.25,71.63,69087.00
01.10.2018 12:00,11118.00,4731.25,14863.25,63.15,67618.50
01.10.2018 13:00,11295.25,4454.75,16326.0,60.24,67284.75
01.10.2018 14:00,10672.50,4742.50,18665.5,56.18,65931.00
01.10.2018 15:00,8562.25,4907.25,20001.25,53.0,65181.25
01.10.2018 16:00,5817.75,4995.50,20655.25,53.37,63297.50
01.10.2018 17:00,2844.75,5348.25,19791.25,60.42,63258.25
01.10.2018 18:00,527.25,5541.50,18170.25,69.93,63779.00
01.10.2018 19:00,1.00,5388.25,18033.0,75.0,64215.50
01.10.2018 20:00,0.00,5414.00,18579.0,65.83,62493.50
01.10.2018 21:00,0.00,5262.25,18509.75,53.86,59105.25
01.10.2018 22:00,0.00,4556.25,17824.0,46.46,54674.00
02.10.2018 00:00,0.00,3096.50,16644.75,45.1,46408.00
02.10.2018 01:00,0.00,3075.25,15979.75,44.1,44746.00
02.10.2018 02:00,0.00,3065.50,15679.5,44.06,-
02.10.2018 03:00,0.00,3061.50,16606.75,43.77,-
02.10.2018 04:00,0.00,3050.50,17906.25,44.29,-
02.10.2018 05:00,0.00,3315.75,19350.0,48.13,-
02.10.2018 06:00,0.00,3869.00,20928.25,57.7,-
02.10.2018 07:00,251.00,4321.25,22363.75,68.21,-
02.10.2018 08:00,2417.75,4235.75,22946.0,70.36,-
