date,temperature_Hamburg,wind_speed_Hamburg,shortwave_radiation_Hamburg,temperature_Berlin,wind_speed_Berlin,shortwave_radiation_Berlin,temperature_Köln,wind_speed_Köln,shortwave_radiation_Köln,temperature_München,wind_speed_München,shortwave_radiation_München,temperature_Leipzig,wind_speed_Leipzig,shortwave_radiation_Leipzig,temperature_Frankfurt,wind_speed_Frankfurt,shortwave_radiation_Frankfurt,temperature_avg,wind_speed_avg,shortwave_radiation_avg,temperature_min,temperature_max,wind_speed_min,wind_speed_max,shortwave_radiation_min,shortwave_radiation_max
2018-09-30 01:00:00+02:00,8.383,12.594856,0.0,6.1085,7.208994,0.0,5.587,9.504272,0.0,6.3715,10.594036,0.0,6.6670003,8.707237,0.0,6.952,5.3517847,0.0,6.678167,8.99353,0.0,5.587,8.383,5.3517847,12.594856,0.0,0.0
2018-09-30 02:00:00+02:00,7.933,10.685391,0.0,5.7584996,7.2,0.0,5.937,6.3690495,0.0,5.5715,7.208994,0.0,6.617,11.384199,0.0,6.802,5.495161,0.0,6.4365005,8.057133,0.0,5.5715,7.933,5.495161,11.384199,0.0,0.0
2018-09-30 03:00:00+02:00,7.0829997,9.085988,0.0,4.8085,7.9932976,0.0,5.337,6.638072,0.0,3.8715,9.793058,0.0,5.6670003,10.239453,0.0,5.652,6.193674,0.0,5.4031663,8.323924,0.0,3.8715,7.0829997,6.193674,10.239453,0.0,0.0
2018-09-30 04:00:00+02:00,7.133,8.707237,0.0,4.9585,9.007196,0.0,5.137,6.489992,0.0,3.5215,8.942214,0.0,5.317,9.3876505,0.0,5.452,5.991594,0.0,5.2531667,8.087647,0.0,3.5215,7.133,5.991594,9.3876505,0.0,0.0
2018-09-30 05:00:00+02:00,6.633,9.085988,0.0,5.1085,9.3669195,0.0,4.937,7.24486,0.0,3.3215,7.8954163,0.0,5.267,9.746631,0.0,4.502,6.193674,0.0,4.9615,8.255582,0.0,3.3215,6.633,6.193674,9.746631,0.0,0.0
2018-09-30 06:00:00+02:00,5.933,8.669949,0.0,5.3085,10.086427,0.0,4.687,7.5942082,0.0,2.7215002,7.9932966,0.0,5.217,10.08,0.0,3.752,7.491114,0.0,4.603167,8.652499,0.0,2.7215002,5.933,7.491114,10.086427,0.0,0.0
2018-09-30 07:00:00+02:00,5.633,8.4963045,0.0,5.1584997,9.178235,0.0,4.687,8.4963045,0.0,2.6215,6.28713,0.0,5.1670003,10.086427,0.0,3.352,8.0899935,0.0,4.4365,8.439065,0.0,2.6215,5.633,6.28713,10.086427,0.0,0.0
2018-09-30 08:00:00+02:00,6.8329997,10.805998,9.0,6.3585,10.365251,29.0,4.937,7.7879906,6.0,4.0215,5.8048253,25.0,6.267,10.08,26.0,4.752,4.39436,12.0,5.5281663,8.206404,17.833334,4.0215,6.8329997,4.39436,10.805998,6.0,29.0
2018-09-30 09:00:00+02:00,8.133,11.298495,77.0,8.6085005,11.298495,150.0,7.037,7.145796,101.0,7.0715,3.319036,142.0,8.717,8.473393,149.0,7.552,6.2145634,122.0,7.853167,7.9582963,123.5,7.037,8.717,3.319036,11.298495,77.0,150.0
2018-09-30 10:00:00+02:00,10.233001,11.212135,221.0,10.7585,13.207634,291.0,9.337001,5.1165614,250.0,10.7715,3.319036,311.0,10.867,9.504273,296.0,9.802,5.0911684,276.0,10.294834,7.908468,274.16666,9.337001,10.867,3.319036,13.207634,221.0,311.0
2018-09-30 11:00:00+02:00,12.483001,12.819235,378.0,12.7085,13.779114,414.0,11.637,1.1384199,392.0,13.8215,4.3349743,453.0,13.167,8.854829,426.0,12.102,4.802999,420.0,12.653167,7.621595,413.83334,11.637,13.8215,1.1384199,13.779114,378.0,453.0
2018-09-30 12:00:00+02:00,13.983001,13.755579,470.0,14.3085,11.298495,503.0,13.587001,1.9386592,503.0,16.0215,7.928178,556.0,15.016999,8.654987,521.0,14.102,1.484318,531.0,14.503166,7.510036,514.0,13.587001,16.0215,1.484318,13.755579,470.0,556.0
2018-09-30 13:00:00+02:00,14.933001,14.973577,509.0,15.5085,11.119281,550.0,15.087001,2.9024127,573.0,17.671501,10.464798,611.0,16.217001,6.763786,571.0,15.802,0.5091169,596.0,15.869835,7.7888284,568.3333,14.933001,17.671501,0.5091169,14.973577,509.0,611.0
