Date,Price_DayAhead,Load_Forecast,Solar,Wind_Offshore,Wind_Onshore
2018-10-01 00:00:00+02:00,59.53,,0.0,1635.76,4287.76
2018-10-01 01:00:00+02:00,56.1,,0.0,1602.39,4148.19
2018-10-01 02:00:00+02:00,51.41,42695.57,0.0,1736.57,4004.51
2018-10-01 03:00:00+02:00,47.38,42746.84,0.0,1792.04,4333.29
2018-10-01 04:00:00+02:00,47.59,44038.05,0.0,2059.44,4611.93
2018-10-01 05:00:00+02:00,51.61,46935.61,0.0,2265.7,5141.96
2018-10-01 06:00:00+02:00,69.13,54292.39,0.0,2549.52,5523.9
2018-10-01 07:00:00+02:00,77.32,61988.54,9.33,2801.66,5873.55
2018-10-01 08:00:00+02:00,84.97,65344.21,930.19,3058.76,6392.92
2018-10-01 09:00:00+02:00,79.56,65831.74,3315.21,3307.72,5935.95
2018-10-01 10:00:00+02:00,73.7,67429.17,5911.59,3559.92,6123.41
2018-10-01 11:00:00+02:00,71.63,68722.21,8034.54,3763.56,7176.63
2018-10-01 12:00:00+02:00,63.15,68043.15,9448.74,3865.73,8296.76
2018-10-01 13:00:00+02:00,60.24,68002.37,9758.01,3950.06,9775.03
2018-10-01 14:00:00+02:00,56.18,66804.02,9292.99,3865.04,11491.56
2018-10-01 15:00:00+02:00,53.0,65450.27,8366.89,3891.9,12595.98
2018-10-01 16:00:00+02:00,53.37,63563.99,6360.75,4032.57,13086.03
2018-10-01 17:00:00+02:00,60.42,63190.41,3755.61,4090.69,13604.16
2018-10-01 18:00:00+02:00,69.93,63778.37,1111.63,4140.11,13308.14
2018-10-01 19:00:00+02:00,75.0,63661.66,6.59,4158.14,13130.25
2018-10-01 20:00:00+02:00,65.83,64046.31,0.0,4139.45,13405.48
2018-10-01 21:00:00+02:00,53.86,60426.42,0.0,4189.29,13495.7
2018-10-01 22:00:00+02:00,46.46,56650.58,0.0,4001.47,13365.96
2018-10-01 23:00:00+02:00,42.5,52700.88,0.0,3737.69,12959.6
2018-10-02 00:00:00+02:00,45.1,47213.61,0.0,3492.68,12986.38
2018-10-02 01:00:00+02:00,44.1,45354.35,0.0,3215.91,12817.45
2018-10-02 02:00:00+02:00,44.06,,0.0,3087.77,12599.46
2018-10-02 03:00:00+02:00,43.77,,0.0,3167.28,12463.91
